id,name,category,parent_id,synonyms,finding_type
FID0010,air_bronchogram,lung,FID0460,,observation
FID0020,airspace_opacity,lung,FID0460,"Air space opacity,Infiltrate",observation
FID0040,airway_abnormality,airway,,,
FID0060,pulmonary_scarring,lung,FID0460,Scarring,observation
FID0070,architectural_distortion,lung,FID0460,,observation
FID0080,aspiration,lung,FID0460,,diagnosis
FID0090,atelectasis,lung,FID0020,"Collapse,Lung collapse",observation
FID0100,azygos_fissure,lung,FID3940,,observation
FID0110,azygos_lobe,lung,FID3940,,observation
FID0120,accessory_fissure,lung,FID3940,,observation
FID0130,reticular_opacity,lung,FID0460,"Reticular opacities,Interstitial opacity,Interstitial opacities",observation
FID0150,thickening_of_bronchial_wall,airway,FID3990,"Peribronchial cuffing,Bronchial wall thickening",observation
FID0160,bronchiectasis,airway,FID3990,,observation
FID0170,calcified_pulmonary_nodule,lung,FID0490,"Calcified granuloma,Calcified nodule",observation
FID0180,cavitary_lesion,lung,FID3970,"Cavitation,Cavitary lucency",observation
FID0190,consolidation,lung,FID0020,Airspace consolidation,observation
FID0210,ground_glass_opacity,lung,FID0020,"Hazy opacity,Ground-glass opacification,Ground glass opacification",observation
FID0230,diffuse_increased_lung_lucency,lung,FID0470,,observation
FID0250,miliary_pattern,lung,FID0460,"Miliary nodules,Miliary nodularity",observation
FID0260,elevation_of_hemidiaphragm,diaphragm,FID0315,Elevated hemidiaphragm,observation
FID0265,depression_of_hemidiaphragm,diaphragm,FID0315,Depressed hemidiaphragm,observation
FID0270,emphysema,lung,FID0460,Emphysematous changes,diagnosis
FID0275,bulla,lung,FID0470,,observation
FID0280,engorgement_of_pulmonary_vasculature,lung,FID0305,"Pulmonary vascular congestion,Pulmonary venous congestion",observation
FID0290,blood_flow_redistribution,lung,FID0305,"Cephalization of pulmonary vasculature,Cephalization,Vascular redistribution,Pulmonary vascular redistribution",observation
FID0300,indistinct_pulmonary_vasculature,lung,FID0305,,observation
